,workerid,id,response,sentence_a,sentence_b,shift_a,shift_b,slide_number_in_experiment
1444,126,271,3.0,Janet drove with a cheap van with space to the sandy beach in the countryside.,Janet drove to the sandy beach in the countryside with a cheap van with space.,0.0,1.0,16
1445,126,213,6.0,John built a big fast green boat for the young children from the disaster in his town.,John built the young children from the disaster in his town a big fast green boat.,0.0,1.0,17
1446,126,366,5.0,Janet drove with a cheap rented van with space for her supplies on yearly vacation in Canada.,Janet drove on yearly vacation in Canada with a cheap rented van with space for her supplies.,0.0,1.0,18
1448,126,425,5.0,John beats up his younger brother with red hair.,John beats his younger brother with red hair up.,1.0,0.0,20
1449,126,471,5.0,John gave up the planned ambitious idea to get funding.,John gave the planned ambitious idea to get funding up.,1.0,0.0,21
1450,126,82,3.0,Melissa completed at her university fascinating courses.,Melissa completed fascinating courses at her university.,1.0,0.0,22
1451,126,63,4.0,Melissa prepared over the weekend a blue vanilla cake with her name with pink bows.,Melissa prepared a blue vanilla cake with her name with pink bows over the weekend.,1.0,0.0,23
1453,126,312,3.0,Janet went with a large rented van with space for her supplies to the sandy surfing beach on the coast.,Janet went to the sandy surfing beach on the coast with a large rented van with space for her supplies.,0.0,1.0,25
1454,126,100,5.0,Melissa gifted at the ceremony a large expensive check of $50k from the organization.,Melissa gifted a large expensive check of $50k from the organization at the ceremony.,0.0,1.0,26
1455,126,473,3.0,John left out the ungrammatical paragraph.,John left the ungrammatical paragraph out.,0.0,1.0,27
1456,126,216,5.0,John built a green boat with powered engines for his sick brother with cancer from the mines.,John built his sick brother with cancer from the mines a green boat with powered engines.,0.0,1.0,28
1460,35,82,1.0,Melissa completed at her university fascinating courses.,Melissa completed fascinating courses at her university.,0.0,1.0,5
1461,35,364,5.0,Janet chatted about the disorganized catastrophic failing project for the analysis for the paper during the academia charity conference in economics.,Janet chatted during the academia charity conference in economics about the disorganized catastrophic failing project for the analysis for the paper.,0.0,1.0,6
1462,35,369,6.0,Janet went with a van to the sandy beach by her mother's home.,Janet went to the sandy beach by her mother's home with a van.,0.0,1.0,7
1463,35,100,3.0,Melissa gifted at the ceremony a large expensive check of $50k from the organization.,Melissa gifted a large expensive check of $50k from the organization at the ceremony.,0.0,1.0,8
1465,35,216,3.0,John built a green boat with powered engines for his sick brother with cancer from the mines.,John built his sick brother with cancer from the mines a green boat with powered engines.,1.0,0.0,10
1466,35,414,3.0,John threw away the leftovers with spicy sauce on the shelf.,John threw the leftovers with spicy sauce on the shelf away.,1.0,0.0,11
1467,35,366,5.0,Janet drove with a cheap rented van with space for her supplies on yearly vacation in Canada.,Janet drove on yearly vacation in Canada with a cheap rented van with space for her supplies.,1.0,0.0,12
1468,35,63,3.0,Melissa prepared over the weekend a blue vanilla cake with her name with pink bows.,Melissa prepared a blue vanilla cake with her name with pink bows over the weekend.,1.0,0.0,13
1470,35,296,6.0,Janet chatted about the catastrophic failing project in the data for the analysis with her economics team for stock predictions in the company.,Janet chatted with her economics team for stock predictions in the company about the catastrophic failing project in the data for the analysis.,0.0,1.0,15
1471,35,144,6.0,John built an assistant app with a direct line to 911 for his sick younger brother with cancer.,John built his sick younger brother with cancer an assistant app with a direct line to 911.,0.0,1.0,16
1472,35,315,4.0,Janet chatted about a large generous annual raise with her economics team for stock predictions in the company.,Janet chatted with her economics team for stock predictions in the company about a large generous annual raise.,0.0,1.0,17
1473,35,213,6.0,John built a big fast green boat for the young children from the disaster in his town.,John built the young children from the disaster in his town a big fast green boat.,0.0,1.0,18
1475,35,298,7.0,Janet talked about the disorganized catastrophic project during the charity conference in economics.,Janet talked during the charity conference in economics about the disorganized catastrophic project.,1.0,0.0,20
1476,35,473,7.0,John left out the ungrammatical paragraph.,John left the ungrammatical paragraph out.,1.0,0.0,21
1477,35,333,5.0,Janet drove with a large rented van with space for her supplies to the event of the metropolis.,Janet drove to the event of the metropolis with a large rented van with space for her supplies.,1.0,0.0,22
1478,35,425,4.0,John beats up his younger brother with red hair.,John beats his younger brother with red hair up.,1.0,0.0,23
1480,35,205,6.0,John wrote a polite notice message for his work to his large religious extended family from the farms in the plains in Kansas.,John wrote his large religious extended family from the farms in the plains in Kansas a polite notice message for his work.,0.0,1.0,25
1481,35,271,4.0,Janet drove with a cheap van with space to the sandy beach in the countryside.,Janet drove to the sandy beach in the countryside with a cheap van with space.,0.0,1.0,26
1482,35,312,4.0,Janet went with a large rented van with space for her supplies to the sandy surfing beach on the coast.,Janet went to the sandy surfing beach on the coast with a large rented van with space for her supplies.,0.0,1.0,27
1483,35,471,7.0,John gave up the planned ambitious idea to get funding.,John gave the planned ambitious idea to get funding up.,0.0,1.0,28
1487,46,298,2.0,Janet talked about the disorganized catastrophic project during the charity conference in economics.,Janet talked during the charity conference in economics about the disorganized catastrophic project.,0.0,1.0,5
1488,46,296,2.0,Janet chatted about the catastrophic failing project in the data for the analysis with her economics team for stock predictions in the company.,Janet chatted with her economics team for stock predictions in the company about the catastrophic failing project in the data for the analysis.,0.0,1.0,6
1489,46,213,1.0,John built a big fast green boat for the young children from the disaster in his town.,John built the young children from the disaster in his town a big fast green boat.,0.0,1.0,7
1490,46,364,1.0,Janet chatted about the disorganized catastrophic failing project for the analysis for the paper during the academia charity conference in economics.,Janet chatted during the academia charity conference in economics about the disorganized catastrophic failing project for the analysis for the paper.,0.0,1.0,8
1492,46,312,1.0,Janet went with a large rented van with space for her supplies to the sandy surfing beach on the coast.,Janet went to the sandy surfing beach on the coast with a large rented van with space for her supplies.,1.0,0.0,10
1493,46,369,1.0,Janet went with a van to the sandy beach by her mother's home.,Janet went to the sandy beach by her mother's home with a van.,1.0,0.0,11
1494,46,333,5.0,Janet drove with a large rented van with space for her supplies to the event of the metropolis.,Janet drove to the event of the metropolis with a large rented van with space for her supplies.,1.0,0.0,12
1495,46,473,1.0,John left out the ungrammatical paragraph.,John left the ungrammatical paragraph out.,1.0,0.0,13
1497,46,63,4.0,Melissa prepared over the weekend a blue vanilla cake with her name with pink bows.,Melissa prepared a blue vanilla cake with her name with pink bows over the weekend.,0.0,1.0,15
1498,46,414,5.0,John threw away the leftovers with spicy sauce on the shelf.,John threw the leftovers with spicy sauce on the shelf away.,0.0,1.0,16
1499,46,271,1.0,Janet drove with a cheap van with space to the sandy beach in the countryside.,Janet drove to the sandy beach in the countryside with a cheap van with space.,0.0,1.0,17
1500,46,82,1.0,Melissa completed at her university fascinating courses.,Melissa completed fascinating courses at her university.,0.0,1.0,18
1502,46,366,7.0,Janet drove with a cheap rented van with space for her supplies on yearly vacation in Canada.,Janet drove on yearly vacation in Canada with a cheap rented van with space for her supplies.,1.0,0.0,20
1503,46,315,4.0,Janet chatted about a large generous annual raise with her economics team for stock predictions in the company.,Janet chatted with her economics team for stock predictions in the company about a large generous annual raise.,1.0,0.0,21
1504,46,205,6.0,John wrote a polite notice message for his work to his large religious extended family from the farms in the plains in Kansas.,John wrote his large religious extended family from the farms in the plains in Kansas a polite notice message for his work.,1.0,0.0,22
1505,46,425,7.0,John beats up his younger brother with red hair.,John beats his younger brother with red hair up.,1.0,0.0,23
1507,46,471,1.0,John gave up the planned ambitious idea to get funding.,John gave the planned ambitious idea to get funding up.,0.0,1.0,25
1508,46,144,7.0,John built an assistant app with a direct line to 911 for his sick younger brother with cancer.,John built his sick younger brother with cancer an assistant app with a direct line to 911.,0.0,1.0,26
1509,46,100,1.0,Melissa gifted at the ceremony a large expensive check of $50k from the organization.,Melissa gifted a large expensive check of $50k from the organization at the ceremony.,0.0,1.0,27
1510,46,216,1.0,John built a green boat with powered engines for his sick brother with cancer from the mines.,John built his sick brother with cancer from the mines a green boat with powered engines.,0.0,1.0,28
1514,71,63,2.0,Melissa prepared over the weekend a blue vanilla cake with her name with pink bows.,Melissa prepared a blue vanilla cake with her name with pink bows over the weekend.,0.0,1.0,5
1515,71,100,2.0,Melissa gifted at the ceremony a large expensive check of $50k from the organization.,Melissa gifted a large expensive check of $50k from the organization at the ceremony.,0.0,1.0,6
1516,71,296,2.0,Janet chatted about the catastrophic failing project in the data for the analysis with her economics team for stock predictions in the company.,Janet chatted with her economics team for stock predictions in the company about the catastrophic failing project in the data for the analysis.,0.0,1.0,7
1517,71,82,3.0,Melissa completed at her university fascinating courses.,Melissa completed fascinating courses at her university.,0.0,1.0,8
1519,71,298,7.0,Janet talked about the disorganized catastrophic project during the charity conference in economics.,Janet talked during the charity conference in economics about the disorganized catastrophic project.,1.0,0.0,10
1520,71,205,6.0,John wrote a polite notice message for his work to his large religious extended family from the farms in the plains in Kansas.,John wrote his large religious extended family from the farms in the plains in Kansas a polite notice message for his work.,1.0,0.0,11
1521,71,425,7.0,John beats up his younger brother with red hair.,John beats his younger brother with red hair up.,1.0,0.0,12
1522,71,333,5.0,Janet drove with a large rented van with space for her supplies to the event of the metropolis.,Janet drove to the event of the metropolis with a large rented van with space for her supplies.,1.0,0.0,13
1524,71,364,6.0,Janet chatted about the disorganized catastrophic failing project for the analysis for the paper during the academia charity conference in economics.,Janet chatted during the academia charity conference in economics about the disorganized catastrophic failing project for the analysis for the paper.,0.0,1.0,15
1525,71,271,2.0,Janet drove with a cheap van with space to the sandy beach in the countryside.,Janet drove to the sandy beach in the countryside with a cheap van with space.,0.0,1.0,16
1526,71,471,7.0,John gave up the planned ambitious idea to get funding.,John gave the planned ambitious idea to get funding up.,0.0,1.0,17
1527,71,144,4.0,John built an assistant app with a direct line to 911 for his sick younger brother with cancer.,John built his sick younger brother with cancer an assistant app with a direct line to 911.,0.0,1.0,18
1529,71,369,6.0,Janet went with a van to the sandy beach by her mother's home.,Janet went to the sandy beach by her mother's home with a van.,1.0,0.0,20
1530,71,366,2.0,Janet drove with a cheap rented van with space for her supplies on yearly vacation in Canada.,Janet drove on yearly vacation in Canada with a cheap rented van with space for her supplies.,1.0,0.0,21
1531,71,315,6.0,Janet chatted about a large generous annual raise with her economics team for stock predictions in the company.,Janet chatted with her economics team for stock predictions in the company about a large generous annual raise.,1.0,0.0,22
1532,71,216,6.0,John built a green boat with powered engines for his sick brother with cancer from the mines.,John built his sick brother with cancer from the mines a green boat with powered engines.,1.0,0.0,23
1534,71,414,7.0,John threw away the leftovers with spicy sauce on the shelf.,John threw the leftovers with spicy sauce on the shelf away.,0.0,1.0,25
1535,71,473,6.0,John left out the ungrammatical paragraph.,John left the ungrammatical paragraph out.,0.0,1.0,26
1536,71,312,5.0,Janet went with a large rented van with space for her supplies to the sandy surfing beach on the coast.,Janet went to the sandy surfing beach on the coast with a large rented van with space for her supplies.,0.0,1.0,27
1537,71,213,7.0,John built a big fast green boat for the young children from the disaster in his town.,John built the young children from the disaster in his town a big fast green boat.,0.0,1.0,28
1541,96,471,7.0,John gave up the planned ambitious idea to get funding.,John gave the planned ambitious idea to get funding up.,0.0,1.0,5
1542,96,205,6.0,John wrote a polite notice message for his work to his large religious extended family from the farms in the plains in Kansas.,John wrote his large religious extended family from the farms in the plains in Kansas a polite notice message for his work.,0.0,1.0,6
1543,96,298,1.0,Janet talked about the disorganized catastrophic project during the charity conference in economics.,Janet talked during the charity conference in economics about the disorganized catastrophic project.,0.0,1.0,7
1544,96,213,7.0,John built a big fast green boat for the young children from the disaster in his town.,John built the young children from the disaster in his town a big fast green boat.,0.0,1.0,8
1546,96,315,7.0,Janet chatted about a large generous annual raise with her economics team for stock predictions in the company.,Janet chatted with her economics team for stock predictions in the company about a large generous annual raise.,1.0,0.0,10
1547,96,63,1.0,Melissa prepared over the weekend a blue vanilla cake with her name with pink bows.,Melissa prepared a blue vanilla cake with her name with pink bows over the weekend.,1.0,0.0,11
1548,96,312,1.0,Janet went with a large rented van with space for her supplies to the sandy surfing beach on the coast.,Janet went to the sandy surfing beach on the coast with a large rented van with space for her supplies.,1.0,0.0,12
1549,96,366,7.0,Janet drove with a cheap rented van with space for her supplies on yearly vacation in Canada.,Janet drove on yearly vacation in Canada with a cheap rented van with space for her supplies.,1.0,0.0,13
1551,96,271,4.0,Janet drove with a cheap van with space to the sandy beach in the countryside.,Janet drove to the sandy beach in the countryside with a cheap van with space.,0.0,1.0,15
1552,96,296,2.0,Janet chatted about the catastrophic failing project in the data for the analysis with her economics team for stock predictions in the company.,Janet chatted with her economics team for stock predictions in the company about the catastrophic failing project in the data for the analysis.,0.0,1.0,16
1553,96,333,5.0,Janet drove with a large rented van with space for her supplies to the event of the metropolis.,Janet drove to the event of the metropolis with a large rented van with space for her supplies.,0.0,1.0,17
1554,96,216,7.0,John built a green boat with powered engines for his sick brother with cancer from the mines.,John built his sick brother with cancer from the mines a green boat with powered engines.,0.0,1.0,18
1556,96,473,4.0,John left out the ungrammatical paragraph.,John left the ungrammatical paragraph out.,1.0,0.0,20
1557,96,414,4.0,John threw away the leftovers with spicy sauce on the shelf.,John threw the leftovers with spicy sauce on the shelf away.,1.0,0.0,21
1558,96,425,4.0,John beats up his younger brother with red hair.,John beats his younger brother with red hair up.,1.0,0.0,22
1559,96,364,2.0,Janet chatted about the disorganized catastrophic failing project for the analysis for the paper during the academia charity conference in economics.,Janet chatted during the academia charity conference in economics about the disorganized catastrophic failing project for the analysis for the paper.,1.0,0.0,23
1561,96,82,1.0,Melissa completed at her university fascinating courses.,Melissa completed fascinating courses at her university.,0.0,1.0,25
1562,96,369,4.0,Janet went with a van to the sandy beach by her mother's home.,Janet went to the sandy beach by her mother's home with a van.,0.0,1.0,26
1563,96,144,4.0,John built an assistant app with a direct line to 911 for his sick younger brother with cancer.,John built his sick younger brother with cancer an assistant app with a direct line to 911.,0.0,1.0,27
1564,96,100,4.0,Melissa gifted at the ceremony a large expensive check of $50k from the organization.,Melissa gifted a large expensive check of $50k from the organization at the ceremony.,0.0,1.0,28
1568,63,466,4.0,John hand in his performance reviews of company research from the past year.,John hand his performance reviews of company research from the past year in.,0.0,1.0,5
1569,63,325,6.0,Janet drove in her green electric car with her favorite songs on her vacation to the mountains in Canada.,Janet drove on her vacation to the mountains in Canada in her green electric car with her favorite songs.,0.0,1.0,6
1570,63,90,1.0,Melissa made over the weekend a multilevel blue sponge cake with her name in green frosting.,Melissa made a multilevel blue sponge cake with her name in green frosting over the weekend.,0.0,1.0,7
1571,63,3,1.0,Melissa presented to the team a shiny gold winning trophy.,Melissa presented a shiny gold winning trophy to the team.,0.0,1.0,8
1573,63,278,7.0,Janet discussed about a annual raise for her project with her new assigned team for stock predictions in the company.,Janet discussed with her new assigned team for stock predictions in the company about a annual raise for her project.,1.0,0.0,10
1574,63,323,1.0,Janet drove in a big heavy loaded truck to the surfing beach on the coast by her mother's home.,Janet drove to the surfing beach on the coast by her mother's home in a big heavy loaded truck.,1.0,0.0,11
1575,63,191,7.0,John rents modern vacation houses from a famous architect from the 80s to wealthy college students with jobs at the campus in the city.,John rents wealthy college students with jobs at the campus in the city modern vacation houses from a famous architect from the 80s.,1.0,0.0,12
1576,63,105,1.0,Melissa baked for the party fresh vegan muffins with white frosting.,Melissa baked fresh vegan muffins with white frosting for the party.,1.0,0.0,13
1578,63,87,1.0,Melissa baked in her kitchen a multilevel vanilla cake with her name.,Melissa baked a multilevel vanilla cake with her name in her kitchen.,0.0,1.0,15
1579,63,65,1.0,Melissa made for the party vegan blueberry muffins with egg substitute.,Melissa made vegan blueberry muffins with egg substitute for the party.,0.0,1.0,16
1580,63,148,1.0,John showed his expensive handmade outfit from the designer for the gala to the crowded group with bags from America.,John showed the crowded group with bags from America his expensive handmade outfit from the designer for the gala.,0.0,1.0,17
1581,63,343,7.0,Janet discussed about a raise with her new economics team for stock predictions in the finance branch.,Janet discussed with her new economics team for stock predictions in the finance branch about a raise.,0.0,1.0,18
1583,63,376,7.0,John gave away the family recipe with instructions.,John gave the family recipe with instructions away.,1.0,0.0,20
1584,63,314,7.0,Janet negotiatied about a raise for the budget during the annual charity conference in economics.,Janet negotiatied during the annual charity conference in economics about a raise for the budget.,1.0,0.0,21
1585,63,123,6.0,Melissa completed at the college courses on astronomy under the famous professor from NASA.,Melissa completed courses on astronomy under the famous professor from NASA at the college.,1.0,0.0,22
1586,63,360,7.0,Janet negotiatied about a generous annual raise for the budget during the dedicated complaints meeting for speaking with HR about company funding.,Janet negotiatied during the dedicated complaints meeting for speaking with HR about company funding about a generous annual raise for the budget.,1.0,0.0,23
1588,63,51,1.0,Melissa completed at her university fascinating strenuous courses for her graduate program on astronomy from NASA.,Melissa completed fascinating strenuous courses for her graduate program on astronomy from NASA at her university.,0.0,1.0,25
1589,63,476,7.0,John worked out the revised work schedule for his employees.,John worked the revised work schedule for his employees out.,0.0,1.0,26
1590,63,212,7.0,John prepared a celebratory feast for his sick mother at the care home.,John prepared his sick mother at the care home a celebratory feast.,0.0,1.0,27
1591,63,170,2.0,John constructed a beautiful house for fishing by the lake for the homeless citizens in the Midwest.,John constructed the homeless citizens in the Midwest a beautiful house for fishing by the lake.,0.0,1.0,28
1595,89,466,6.0,John hand in his performance reviews of company research from the past year.,John hand his performance reviews of company research from the past year in.,0.0,1.0,5
1596,89,325,6.0,Janet drove in her green electric car with her favorite songs on her vacation to the mountains in Canada.,Janet drove on her vacation to the mountains in Canada in her green electric car with her favorite songs.,0.0,1.0,6
1597,89,3,3.0,Melissa presented to the team a shiny gold winning trophy.,Melissa presented a shiny gold winning trophy to the team.,0.0,1.0,7
1598,89,148,6.0,John showed his expensive handmade outfit from the designer for the gala to the crowded group with bags from America.,John showed the crowded group with bags from America his expensive handmade outfit from the designer for the gala.,0.0,1.0,8
1600,89,278,4.0,Janet discussed about a annual raise for her project with her new assigned team for stock predictions in the company.,Janet discussed with her new assigned team for stock predictions in the company about a annual raise for her project.,1.0,0.0,10
1601,89,90,2.0,Melissa made over the weekend a multilevel blue sponge cake with her name in green frosting.,Melissa made a multilevel blue sponge cake with her name in green frosting over the weekend.,1.0,0.0,11
1602,89,376,6.0,John gave away the family recipe with instructions.,John gave the family recipe with instructions away.,1.0,0.0,12
1603,89,476,6.0,John worked out the revised work schedule for his employees.,John worked the revised work schedule for his employees out.,1.0,0.0,13
1605,89,343,6.0,Janet discussed about a raise with her new economics team for stock predictions in the finance branch.,Janet discussed with her new economics team for stock predictions in the finance branch about a raise.,0.0,1.0,15
1606,89,191,6.0,John rents modern vacation houses from a famous architect from the 80s to wealthy college students with jobs at the campus in the city.,John rents wealthy college students with jobs at the campus in the city modern vacation houses from a famous architect from the 80s.,0.0,1.0,16
1607,89,87,2.0,Melissa baked in her kitchen a multilevel vanilla cake with her name.,Melissa baked a multilevel vanilla cake with her name in her kitchen.,0.0,1.0,17
1608,89,105,2.0,Melissa baked for the party fresh vegan muffins with white frosting.,Melissa baked fresh vegan muffins with white frosting for the party.,0.0,1.0,18
1610,89,212,7.0,John prepared a celebratory feast for his sick mother at the care home.,John prepared his sick mother at the care home a celebratory feast.,1.0,0.0,20
1611,89,51,1.0,Melissa completed at her university fascinating strenuous courses for her graduate program on astronomy from NASA.,Melissa completed fascinating strenuous courses for her graduate program on astronomy from NASA at her university.,1.0,0.0,21
1612,89,123,2.0,Melissa completed at the college courses on astronomy under the famous professor from NASA.,Melissa completed courses on astronomy under the famous professor from NASA at the college.,1.0,0.0,22
1613,89,360,6.0,Janet negotiatied about a generous annual raise for the budget during the dedicated complaints meeting for speaking with HR about company funding.,Janet negotiatied during the dedicated complaints meeting for speaking with HR about company funding about a generous annual raise for the budget.,1.0,0.0,23
1615,89,323,5.0,Janet drove in a big heavy loaded truck to the surfing beach on the coast by her mother's home.,Janet drove to the surfing beach on the coast by her mother's home in a big heavy loaded truck.,0.0,1.0,25
1616,89,314,6.0,Janet negotiatied about a raise for the budget during the annual charity conference in economics.,Janet negotiatied during the annual charity conference in economics about a raise for the budget.,0.0,1.0,26
1617,89,65,2.0,Melissa made for the party vegan blueberry muffins with egg substitute.,Melissa made vegan blueberry muffins with egg substitute for the party.,0.0,1.0,27
1618,89,170,5.0,John constructed a beautiful house for fishing by the lake for the homeless citizens in the Midwest.,John constructed the homeless citizens in the Midwest a beautiful house for fishing by the lake.,0.0,1.0,28
1622,136,314,2.0,Janet negotiatied about a raise for the budget during the annual charity conference in economics.,Janet negotiatied during the annual charity conference in economics about a raise for the budget.,0.0,1.0,5
1623,136,476,6.0,John worked out the revised work schedule for his employees.,John worked the revised work schedule for his employees out.,0.0,1.0,6
1624,136,376,1.0,John gave away the family recipe with instructions.,John gave the family recipe with instructions away.,0.0,1.0,7
1625,136,65,6.0,Melissa made for the party vegan blueberry muffins with egg substitute.,Melissa made vegan blueberry muffins with egg substitute for the party.,0.0,1.0,8
1627,136,278,7.0,Janet discussed about a annual raise for her project with her new assigned team for stock predictions in the company.,Janet discussed with her new assigned team for stock predictions in the company about a annual raise for her project.,1.0,0.0,10
1628,136,51,1.0,Melissa completed at her university fascinating strenuous courses for her graduate program on astronomy from NASA.,Melissa completed fascinating strenuous courses for her graduate program on astronomy from NASA at her university.,1.0,0.0,11
1629,136,123,1.0,Melissa completed at the college courses on astronomy under the famous professor from NASA.,Melissa completed courses on astronomy under the famous professor from NASA at the college.,1.0,0.0,12
1630,136,325,4.0,Janet drove in her green electric car with her favorite songs on her vacation to the mountains in Canada.,Janet drove on her vacation to the mountains in Canada in her green electric car with her favorite songs.,1.0,0.0,13
1632,136,323,4.0,Janet drove in a big heavy loaded truck to the surfing beach on the coast by her mother's home.,Janet drove to the surfing beach on the coast by her mother's home in a big heavy loaded truck.,0.0,1.0,15
1633,136,148,6.0,John showed his expensive handmade outfit from the designer for the gala to the crowded group with bags from America.,John showed the crowded group with bags from America his expensive handmade outfit from the designer for the gala.,0.0,1.0,16
1634,136,212,7.0,John prepared a celebratory feast for his sick mother at the care home.,John prepared his sick mother at the care home a celebratory feast.,0.0,1.0,17
1635,136,466,4.0,John hand in his performance reviews of company research from the past year.,John hand his performance reviews of company research from the past year in.,0.0,1.0,18
1637,136,3,2.0,Melissa presented to the team a shiny gold winning trophy.,Melissa presented a shiny gold winning trophy to the team.,1.0,0.0,20
1638,136,170,7.0,John constructed a beautiful house for fishing by the lake for the homeless citizens in the Midwest.,John constructed the homeless citizens in the Midwest a beautiful house for fishing by the lake.,1.0,0.0,21
1639,136,191,6.0,John rents modern vacation houses from a famous architect from the 80s to wealthy college students with jobs at the campus in the city.,John rents wealthy college students with jobs at the campus in the city modern vacation houses from a famous architect from the 80s.,1.0,0.0,22
1640,136,90,1.0,Melissa made over the weekend a multilevel blue sponge cake with her name in green frosting.,Melissa made a multilevel blue sponge cake with her name in green frosting over the weekend.,1.0,0.0,23
1642,136,87,2.0,Melissa baked in her kitchen a multilevel vanilla cake with her name.,Melissa baked a multilevel vanilla cake with her name in her kitchen.,0.0,1.0,25
1643,136,105,1.0,Melissa baked for the party fresh vegan muffins with white frosting.,Melissa baked fresh vegan muffins with white frosting for the party.,0.0,1.0,26
1644,136,360,6.0,Janet negotiatied about a generous annual raise for the budget during the dedicated complaints meeting for speaking with HR about company funding.,Janet negotiatied during the dedicated complaints meeting for speaking with HR about company funding about a generous annual raise for the budget.,0.0,1.0,27
1645,136,343,6.0,Janet discussed about a raise with her new economics team for stock predictions in the finance branch.,Janet discussed with her new economics team for stock predictions in the finance branch about a raise.,0.0,1.0,28
1649,33,105,2.0,Melissa baked for the party fresh vegan muffins with white frosting.,Melissa baked fresh vegan muffins with white frosting for the party.,0.0,1.0,5
1650,33,343,6.0,Janet discussed about a raise with her new economics team for stock predictions in the finance branch.,Janet discussed with her new economics team for stock predictions in the finance branch about a raise.,0.0,1.0,6
1651,33,3,2.0,Melissa presented to the team a shiny gold winning trophy.,Melissa presented a shiny gold winning trophy to the team.,0.0,1.0,7
1652,33,90,2.0,Melissa made over the weekend a multilevel blue sponge cake with her name in green frosting.,Melissa made a multilevel blue sponge cake with her name in green frosting over the weekend.,0.0,1.0,8
1654,33,191,7.0,John rents modern vacation houses from a famous architect from the 80s to wealthy college students with jobs at the campus in the city.,John rents wealthy college students with jobs at the campus in the city modern vacation houses from a famous architect from the 80s.,1.0,0.0,10
1655,33,65,2.0,Melissa made for the party vegan blueberry muffins with egg substitute.,Melissa made vegan blueberry muffins with egg substitute for the party.,1.0,0.0,11
1656,33,123,1.0,Melissa completed at the college courses on astronomy under the famous professor from NASA.,Melissa completed courses on astronomy under the famous professor from NASA at the college.,1.0,0.0,12
1657,33,325,7.0,Janet drove in her green electric car with her favorite songs on her vacation to the mountains in Canada.,Janet drove on her vacation to the mountains in Canada in her green electric car with her favorite songs.,1.0,0.0,13
1659,33,314,1.0,Janet negotiatied about a raise for the budget during the annual charity conference in economics.,Janet negotiatied during the annual charity conference in economics about a raise for the budget.,0.0,1.0,15
1660,33,212,7.0,John prepared a celebratory feast for his sick mother at the care home.,John prepared his sick mother at the care home a celebratory feast.,0.0,1.0,16
1661,33,360,6.0,Janet negotiatied about a generous annual raise for the budget during the dedicated complaints meeting for speaking with HR about company funding.,Janet negotiatied during the dedicated complaints meeting for speaking with HR about company funding about a generous annual raise for the budget.,0.0,1.0,17
1662,33,376,6.0,John gave away the family recipe with instructions.,John gave the family recipe with instructions away.,0.0,1.0,18
1664,33,148,5.0,John showed his expensive handmade outfit from the designer for the gala to the crowded group with bags from America.,John showed the crowded group with bags from America his expensive handmade outfit from the designer for the gala.,1.0,0.0,20
1665,33,51,2.0,Melissa completed at her university fascinating strenuous courses for her graduate program on astronomy from NASA.,Melissa completed fascinating strenuous courses for her graduate program on astronomy from NASA at her university.,1.0,0.0,21
1666,33,278,4.0,Janet discussed about a annual raise for her project with her new assigned team for stock predictions in the company.,Janet discussed with her new assigned team for stock predictions in the company about a annual raise for her project.,1.0,0.0,22
1667,33,476,7.0,John worked out the revised work schedule for his employees.,John worked the revised work schedule for his employees out.,1.0,0.0,23
1669,33,323,2.0,Janet drove in a big heavy loaded truck to the surfing beach on the coast by her mother's home.,Janet drove to the surfing beach on the coast by her mother's home in a big heavy loaded truck.,0.0,1.0,25
1670,33,466,4.0,John hand in his performance reviews of company research from the past year.,John hand his performance reviews of company research from the past year in.,0.0,1.0,26
1671,33,87,3.0,Melissa baked in her kitchen a multilevel vanilla cake with her name.,Melissa baked a multilevel vanilla cake with her name in her kitchen.,0.0,1.0,27
1672,33,170,4.0,John constructed a beautiful house for fishing by the lake for the homeless citizens in the Midwest.,John constructed the homeless citizens in the Midwest a beautiful house for fishing by the lake.,0.0,1.0,28
1676,117,90,4.0,Melissa made over the weekend a multilevel blue sponge cake with her name in green frosting.,Melissa made a multilevel blue sponge cake with her name in green frosting over the weekend.,0.0,1.0,5
1677,117,325,2.0,Janet drove in her green electric car with her favorite songs on her vacation to the mountains in Canada.,Janet drove on her vacation to the mountains in Canada in her green electric car with her favorite songs.,0.0,1.0,6
1678,117,65,1.0,Melissa made for the party vegan blueberry muffins with egg substitute.,Melissa made vegan blueberry muffins with egg substitute for the party.,0.0,1.0,7
1679,117,170,7.0,John constructed a beautiful house for fishing by the lake for the homeless citizens in the Midwest.,John constructed the homeless citizens in the Midwest a beautiful house for fishing by the lake.,0.0,1.0,8
1681,117,191,7.0,John rents modern vacation houses from a famous architect from the 80s to wealthy college students with jobs at the campus in the city.,John rents wealthy college students with jobs at the campus in the city modern vacation houses from a famous architect from the 80s.,1.0,0.0,10
1682,117,51,6.0,Melissa completed at her university fascinating strenuous courses for her graduate program on astronomy from NASA.,Melissa completed fascinating strenuous courses for her graduate program on astronomy from NASA at her university.,1.0,0.0,11
1683,117,3,1.0,Melissa presented to the team a shiny gold winning trophy.,Melissa presented a shiny gold winning trophy to the team.,1.0,0.0,12
1684,117,376,7.0,John gave away the family recipe with instructions.,John gave the family recipe with instructions away.,1.0,0.0,13
1686,117,87,4.0,Melissa baked in her kitchen a multilevel vanilla cake with her name.,Melissa baked a multilevel vanilla cake with her name in her kitchen.,0.0,1.0,15
